ID,Crossing_times
52,7.75
67,5.75
330,6.75
460,8.75
641,6.5
1057,9.25
1093,6.5
1146,10.0
1308,10.0
1487,12.25
1578,9.25
1581,11.25
1720,6.5
1747,6.25
1795,6.25
1829,6.5
1831,6.0
1862,6.75
1890,5.75
2014,11.25
2024,10.25
2083,9.5
2087,9.0
2212,6.75
2216,6.75
2243,11.5
2297,11.25
2423,7.25
2428,9.0
2487,7.25
2496,9.75
2838,6.5
2909,6.5
2932,10.25
2987,10.5
3038,7.0
3044,9.75
3045,10.0
3432,9.25
3629,6.0
4141,8.0
8101,9.5
8104,9.5
8277,7.5
8897,9.25
9064,9.75
50000090,5.75
50010049,9.0
50020046,11.25
50020061,11.25
50020062,10.25
50020063,9.0
50020064,8.75
50020065,11.25
50020066,11.25
50020067,6.5
50020068,6.5
50040332,8.25
100000124,6.5
100001221,10.5
100001256,6.25
100001781,7.25
100001827,6.75
100002442,9.75
100002464,8.25
100002471,5.25
100002748,7.0
100003452,8.75
100003630,6.0
100004077,9.25
100004106,10.0
100004221,9.0
100004326,11.5
100004417,9.25
100004539,6.75
100004896,7.25
100004980,6.75
100005084,9.75
100005145,9.25
100005343,9.0
100005456,6.5
100005597,6.75
100005643,9.5
100005707,6.75
100005773,7.25
100005812,6.75
100005921,6.75
100006025,9.75
100006029,11.0
100006140,12.5
100006199,11.0
100006235,9.5
100006421,10.5
100006719,6.5
100006855,6.75
100007084,6.5
100007154,8.75
100007156,8.5
100007209,10.25
100007316,6.5
100007393,10.0
100007394,9.75
100007428,10.5
100007643,6.5
100008079,11.75
100008106,8.75
100008203,5.75
100008484,6.75
100008497,5.5
100008709,6.25
100008920,6.5
100009037,6.75
100009040,7.25
100009208,8.0
100009256,9.25
100009285,7.0
100009294,10.5
100009326,8.75
100009451,8.25
100009453,8.5
100009499,7.0
100009503,9.75
100009505,7.25
100010037,9.0
100010064,9.25
100010980,7.0
100011005,6.5
100011136,9.25
100011148,5.75
100011187,9.25
100011398,9.25
100011635,5.75
100012124,8.0
100012215,8.0
100012427,7.0
100012577,37.5
100014069,7.25
100014112,9.0
100014127,6.0
100014157,11.75
100014201,8.75
100014258,7.75
100014263,8.75
100014295,11.5
100014296,11.5
100014320,9.0
100014380,6.75
100014414,6.5
100014417,6.5
100014486,6.25
100014579,6.75
100014602,6.5
100014615,7.75
100014644,7.25
100014911,9.25
100014938,6.75
100015176,8.0
100015229,5.25
100015296,7.5
100017023,8.25
100017294,7.5
100018233,9.25
100019446,8.75
150030026,5.25
150040004,7.5
150040005,6.75
150060033,10.75
150060034,6.5
150090052,10.5
150120040,38.25
150140003,6.5
150140035,6.5
150140036,6.5
150140037,7.75
150140038,5.75
150140039,8.75
150140040,8.75
150140041,11.5
150140042,11.25
150150045,6.75
150150047,6.5
150170146,8.25
200000101,8.25
200000102,8.25
200000294,6.75
200000327,6.75
200000428,9.25
200000547,9.25
200000898,9.25
200000906,6.75
200000946,9.25
200000966,6.5
200001102,9.75
200001119,9.5
200001516,6.5
200001517,10.25
200001646,6.75
200002129,9.75
200002172,8.5
200002175,8.25
200002967,7.0
200003007,9.0
200003061,8.5
200003142,11.0
200003194,9.5
200003283,10.5
200003317,6.5
200003369,7.0
200003543,5.75
200003849,6.5
200003922,7.25
200004047,6.75
200004060,8.25
200004207,8.5
200004269,10.0
200004297,9.75
200004427,9.25
200004494,9.25
200004605,6.5
200004914,6.5
200004915,9.25
200005102,9.75
200005103,8.75
200005112,9.5
200005155,7.5
200005156,7.75
200005183,8.0
200005230,7.0
200005755,6.75
200006000,12.25
200006081,9.0
200006147,9.5
200006339,6.75
200006944,6.75
200007006,9.25
200007023,9.25
200007084,9.0
200007288,11.5
200007289,11.5
200007394,10.5
200007502,6.75
200007503,6.5
200007837,6.75
200007858,6.75
200007860,6.25
200008053,12.25
200008083,8.25
200008086,8.25
200008337,10.75
200008343,9.5
200008344,9.25
200008378,9.0
200008449,9.0
200008490,6.5
200008633,6.5
200008666,6.75
200008717,7.0
200009024,8.0
200009254,9.5
200009284,10.0
200009380,9.75
200009382,10.25
200009384,10.75
200009480,5.75
200009560,6.25
200010000,9.0
200010007,7.5
200010105,7.25
200010217,11.0
200010257,8.0
200011224,9.25
200011280,8.75
200011880,5.75
200011883,6.0
200012185,10.5
200012567,5.75
200012689,5.75
200012723,6.25
200013012,6.75
200013055,7.75
200013067,10.5
200013164,6.5
200013166,6.5
200013314,9.5
200013318,8.25
200013319,8.0
200013414,7.0
200013445,9.75
200013504,7.75
200013540,7.5
200013544,5.75
200013830,6.75
200014043,7.25
200014080,12.25
200014202,11.0
200014258,11.25
200014394,6.75
200014414,6.5
200014511,6.75
200014643,7.0
200014644,6.75
200014646,6.5
200014647,6.75
200014693,6.25
200014720,6.75
200014742,8.0
200014914,9.25
200015006,9.0
200015042,10.25
200015067,7.75
200015079,8.0
200015128,10.75
200015163,7.75
200015615,6.75
200015739,7.0
200015741,7.0
200018494,6.75
200018495,9.5
200019174,7.25
200019348,10.5
250000077,8.25
250010160,6.75
250040019,6.75
250040059,6.5
250040060,6.5
250040061,9.5
250050051,6.75
250060035,12.25
250060036,12.5
250060037,9.0
250080018,9.25
250080038,6.5
250080039,6.5
250080040,6.5
250080041,9.0
250090035,5.75
250120051,5.75
250130022,6.75
250130026,7.5
250130027,7.75
250140035,10.5
250140047,6.5
250140048,8.0
250140049,9.25
250150133,10.5
250180104,9.25
250180133,6.5
250190458,7.25
250190459,10.0
300000239,9.25
300000262,9.25
300000322,10.75
300000385,9.5
300000400,9.75
300000496,9.25
300000545,9.25
300000998,9.0
300001372,9.75
300001806,11.0
300002094,9.75
300002097,10.25
350000097,9.0
350000098,9.25
350000099,9.75
350000100,9.25
350000101,9.25
350020054,9.5
