ID,Minimum PET
52,-12.0
67,-19.5
330,-15.75
460,-13.0
641,-21.75
1057,-27.5
1093,-17.0
1146,-13.5
1308,-9.75
1487,-12.5
1578,8.75
1581,-19.5
1720,-18.25
1747,-22.0
1795,-20.5
1829,-20.0
1831,-18.0
1862,-13.75
1890,-3.75
2014,-12.75
2024,-22.25
2083,-3.5
2087,-15.75
2212,-10.25
2216,-9.25
2243,-17.25
2297,-7.0
2423,-11.0
2428,-15.0
2487,-18.0
2496,-15.0
2838,-14.25
2909,inf
2932,-5.5
2987,-15.75
3038,-1.0
3044,-16.5
3045,-16.5
3432,-13.75
3629,-15.25
4141,-8.5
8101,inf
8104,-10.75
8277,-3.5
8897,inf
9064,inf
50000090,-19.25
50010049,8.5
50020046,-19.5
50020061,-12.25
50020062,-22.25
50020063,-15.5
50020064,-20.0
50020065,-19.75
50020066,-20.0
50020067,-14.25
50020068,-14.25
50040332,-8.5
100000124,-19.0
100001221,7.0
100001256,-6.5
100001781,-13.5
100001827,-22.5
100002442,-21.25
100002464,-18.5
100002471,-22.0
100002748,-18.25
100003452,-31.75
100003630,-24.75
100004077,-16.0
100004106,-10.5
100004221,-18.75
100004326,inf
100004417,-13.75
100004539,-17.0
100004896,-16.0
100004980,inf
100005084,-26.0
100005145,-22.25
100005343,7.5
100005456,-9.5
100005597,5.75
100005643,-9.0
100005707,-7.25
100005773,-17.0
100005812,inf
100005921,-18.0
100006025,-13.5
100006029,-35.0
100006140,-10.25
100006199,-10.0
100006235,-14.0
100006421,5.75
100006719,-17.75
100006855,-13.0
100007084,-5.25
100007154,-15.75
100007156,-15.75
100007209,-5.5
100007316,-19.25
100007393,-22.25
100007394,-5.5
100007428,3.75
100007643,-12.5
100008079,1.75
100008106,-11.0
100008203,-11.5
100008484,-21.75
100008497,-18.75
100008709,-13.0
100008920,-11.0
100009037,-10.0
100009040,-7.5
100009208,-19.75
100009256,-7.5
100009285,-15.0
100009294,-11.0
100009326,-16.75
100009451,-26.5
100009453,-26.5
100009499,-8.75
100009503,-3.0
100009505,-24.5
100010037,-8.75
100010064,-23.0
100010980,-19.25
100011005,-10.25
100011136,-14.75
100011148,-17.0
100011187,-25.25
100011398,-21.25
100011635,-16.25
100012124,-17.5
100012215,-19.5
100012427,-10.5
100012577,-33.75
100014069,-11.75
100014112,-13.5
100014127,-7.75
