ID,Crossing_times
52,4.25
67,5.0
330,4.25
460,5.0
641,5.5
1057,4.25
1093,5.0
1146,4.5
1308,4.75
1487,4.75
1578,5.25
1581,5.5
1720,5.25
1747,6.0
1795,6.5
1829,5.75
1831,7.5
1862,5.75
1890,5.5
2014,4.5
2024,5.0
2083,5.0
2087,4.75
2212,5.25
2216,5.25
2243,6.25
2297,4.5
2423,5.5
2428,4.75
2487,5.5
2496,5.0
2838,5.5
2909,5.25
2932,5.5
2987,5.25
3038,4.75
3044,4.75
3045,4.75
3432,4.5
3629,6.0
4141,5.25
8101,4.75
8104,4.75
8277,4.75
8897,5.25
9064,4.75
50000090,5.0
50010049,5.25
50020046,5.5
50020061,4.75
50020062,5.0
50020063,4.75
50020064,4.75
50020065,5.25
50020066,5.25
50020067,5.5
50020068,5.5
50040332,5.5
100000124,5.0
100001221,4.5
100001256,5.75
100001781,8.0
100001827,5.5
100002442,4.75
100002464,4.5
100002471,6.5
100002748,5.5
100003452,4.75
100003630,5.5
100004077,4.75
100004106,4.5
100004221,4.75
100004326,5.0
100004417,4.5
100004539,5.5
100004896,5.75
100004980,5.25
100005084,4.75
100005145,4.75
100005343,4.5
100005456,5.0
100005597,5.25
100005643,4.75
100005707,5.25
100005773,6.0
100005812,5.25
100005921,5.5
100006025,5.25
100006029,4.25
100006140,3.5
100006199,4.75
100006235,4.5
100006421,4.75
100006719,5.0
100006855,5.25
100007084,6.75
100007154,4.5
100007156,4.75
100007209,4.75
100007316,7.0
100007393,4.75
100007394,4.75
100007428,4.5
100007643,5.0
100008079,5.0
100008106,4.5
100008203,6.5
100008484,5.25
100008497,8.0
100008709,5.75
100008920,5.0
100009037,4.75
100009040,4.5
100009208,4.0
100009256,4.25
100009285,4.0
100009294,5.5
100009326,4.75
100009451,4.75
100009453,4.5
100009499,6.75
100009503,6.0
100009505,7.25
100010037,4.75
100010064,5.0
100010980,4.75
100011005,6.75
100011136,3.75
100011148,5.25
100011187,4.75
100011398,4.75
100011635,5.5
100012124,4.0
100012215,4.75
100012427,4.75
100012577,5.0
100014069,4.25
100014112,4.75
100014127,5.25
100014157,4.75
100014201,4.75
100014258,4.25
100014263,4.5
100014295,4.5
100014296,4.5
100014320,5.0
100014380,5.25
100014414,5.0
100014417,6.75
100014486,5.25
100014579,5.25
100014602,5.25
100014615,4.75
100014644,5.75
100014911,5.25
100014938,5.25
100015176,5.0
100015229,7.0
100015296,4.5
100017023,4.75
100017294,5.0
100018233,5.5
100019446,5.5
150030026,6.5
150040004,5.5
150040005,5.25
150060033,4.75
150060034,5.0
150090052,5.5
150120040,5.0
150140003,4.0
150140035,6.5
150140036,5.0
150140037,4.5
150140038,5.25
150140039,4.75
150140040,4.75
150140041,4.5
150140042,4.5
150150045,5.25
150150047,5.25
150170146,4.75
200000101,4.75
200000102,4.75
200000294,5.25
200000327,5.25
200000428,5.5
200000547,5.25
200000898,5.25
200000906,5.25
200000946,5.5
200000966,5.25
200001102,5.5
200001119,5.0
200001516,5.0
200001517,5.25
200001646,7.0
200002129,4.0
200002172,4.0
200002175,4.0
200002967,5.25
200003007,4.75
200003061,3.75
200003142,4.75
200003194,4.75
200003283,11.0
200003317,5.0
200003369,6.25
200003543,7.25
200003849,5.0
200003922,5.75
200004047,5.25
200004060,5.0
200004207,4.75
200004269,4.75
200004297,4.75
200004427,4.75
200004494,5.25
200004605,5.25
200004914,5.0
200004915,5.25
200005102,4.75
200005103,4.75
200005112,4.75
200005155,4.75
200005156,4.75
200005183,4.75
200005230,5.5
200005755,5.25
200006000,4.25
200006081,5.25
200006147,4.25
200006339,4.75
200006944,5.25
200007006,4.75
200007023,4.75
200007084,5.0
200007288,5.0
200007289,5.0
200007394,5.0
200007502,5.25
200007503,5.25
200007837,5.5
200007858,7.0
200007860,6.75
200008053,5.0
200008083,4.5
200008086,4.25
200008337,5.0
200008343,4.5
200008344,4.5
200008378,4.75
200008449,4.75
200008490,6.0
200008633,5.25
200008666,6.0
200008717,6.0
200009024,4.25
200009254,5.0
200009284,4.25
200009380,4.75
200009382,4.75
200009384,4.75
200009480,5.75
200009560,5.75
200010000,4.75
200010007,4.75
200010105,6.25
200010217,4.5
200010257,4.75
200011224,4.0
200011280,4.25
200011880,7.0
200011883,7.25
200012185,4.75
200012567,5.75
200012689,6.5
200012723,5.75
200013012,5.25
200013055,4.5
200013067,4.75
200013164,4.25
200013166,4.25
200013314,4.75
200013318,4.25
200013319,4.25
200013414,4.5
200013445,4.25
200013504,4.75
200013540,4.5
200013544,5.5
200013830,5.25
200014043,5.25
200014080,4.75
200014202,4.75
200014258,4.75
200014394,6.5
200014414,5.25
200014511,5.0
200014643,5.5
200014644,5.0
200014646,6.25
200014647,6.5
200014693,6.5
200014720,5.5
200014742,4.5
200014914,5.25
200015006,4.75
200015042,4.75
200015067,4.75
200015079,4.75
200015128,4.25
200015163,4.75
200015615,5.5
200015739,5.5
200015741,5.25
200018494,5.0
200018495,5.25
200019174,4.0
200019348,4.75
250000077,4.75
250010160,7.0
250040019,5.5
250040059,5.0
250040060,5.0
250040061,4.75
250050051,5.25
250060035,4.0
250060036,4.25
250060037,5.25
250080018,4.75
250080038,6.0
250080039,6.0
250080040,5.25
250080041,4.75
250090035,5.75
250120051,5.5
250130022,5.25
250130026,4.75
250130027,4.75
250140035,4.75
250140047,6.0
250140048,4.5
250140049,5.25
250150133,4.25
250180104,5.5
250180133,5.0
250190458,4.0
250190459,4.75
300000239,5.25
300000262,5.25
300000322,5.25
300000385,5.75
300000400,5.5
300000496,5.5
300000545,5.5
300000998,5.5
300001372,4.75
300001806,5.5
300002094,5.5
300002097,5.0
350000097,5.25
350000098,5.75
350000099,5.25
350000100,5.25
350000101,5.25
350020054,5.5
