ID,Minimum PET
52,-19.75
67,-17.0
330,-11.0
460,-4.25
641,-11.75
1057,-9.75
1093,-17.5
1146,-2.0
1308,-11.0
1487,-7.0
1578,6.0
1581,7.75
1720,-15.5
1747,-9.25
1795,-46.0
1829,-16.75
1831,-16.0
1862,-13.25
1890,-4.25
2014,-12.0
2024,-2.5
2083,-12.5
2087,9.75
2212,-11.5
2216,-10.5
2243,-21.25
2297,-7.0
2423,-12.5
2428,-7.5
2487,-18.75
2496,-14.75
2838,-15.75
2909,inf
2932,-5.5
2987,-13.75
3038,-8.25
3044,-9.5
3045,-9.25
3432,-0.5
3629,-15.5
4141,-9.5
8101,inf
8104,inf
8277,-7.0
8897,inf
9064,inf
50000090,-17.0
50010049,-41.75
50020046,-22.75
50020061,-15.25
50020062,-2.75
50020063,10.0
50020064,9.75
50020065,-21.0
50020066,-23.0
50020067,-15.75
50020068,-16.0
50040332,-9.5
100000124,-52.75
100001221,-1.25
100001256,-6.75
100001781,-12.0
100001827,7.75
100002442,6.0
100002464,-17.5
100002471,-21.5
100002748,-17.25
100003452,-10.25
100003630,-17.75
100004077,10.25
100004106,-13.75
100004221,4.25
100004326,inf
100004417,-1.25
100004539,-18.0
100004896,-17.75
100004980,inf
100005084,-10.5
100005145,8.0
100005343,2.5
100005456,-10.75
100005597,4.0
100005643,-10.25
100005707,-9.75
100005773,-17.75
100005812,inf
100005921,-13.25
100006025,-19.0
100006029,-9.5
100006140,-8.0
100006199,1.5
100006235,-1.25
100006421,3.5
100006719,-15.0
100006855,-14.25
100007084,-4.75
100007154,-7.5
100007156,-7.25
100007209,-4.75
100007316,-13.0
100007393,-5.25
100007394,inf
100007428,-4.75
100007643,-14.0
100008079,-25.25
100008106,-16.0
100008203,-11.25
100008484,-12.0
100008497,-19.5
100008709,-13.5
100008920,-11.5
100009037,7.75
100009040,-7.5
100009208,-12.0
100009256,-1.5
100009285,-10.25
100009294,-5.0
100009326,-5.0
100009451,5.75
100009453,5.5
100009499,-10.5
100009503,-7.25
100009505,-8.0
100010037,8.25
100010064,-11.0
100010980,-17.75
100011005,-9.75
100011136,-7.0
100011148,-5.75
100011187,16.25
100011398,15.5
100011635,-6.75
100012124,-10.25
100012215,-7.75
100012427,-8.5
100012577,-42.0
100014069,-2.0
100014112,inf
100014127,-7.5
100014157,-1.0
100014201,inf
100014258,-17.5
100014263,-13.25
100014295,-2.25
100014296,-2.25
100014320,-50.0
100014380,-13.75
100014414,inf
100014417,-3.75
100014486,-12.75
100014579,7.25
100014602,-15.5
100014615,-9.25
100014644,-10.5
100014911,7.5
100014938,10.75
100015176,-8.0
100015229,-3.5
100015296,-15.25
100017023,5.25
100017294,-9.75
100018233,inf
100019446,inf
150030026,-15.5
150040004,-17.75
150040005,inf
150060033,1.5
150060034,-15.0
150090052,-5.0
150120040,-42.0
150140003,-14.75
150140035,-13.25
150140036,-15.5
150140037,-9.25
150140038,-7.5
150140039,inf
150140040,inf
150140041,-2.25
150140042,-2.25
150150045,inf
150150047,inf
150170146,5.25
200000101,-8.5
200000102,inf
200000294,inf
200000327,inf
200000428,inf
200000547,inf
200000898,4.25
200000906,-12.25
200000946,7.0
200000966,-13.75
200001102,inf
200001119,3.25
200001516,-9.0
200001517,inf
200001646,-20.0
200002129,-24.5
200002172,-11.5
200002175,-10.75
200002967,-9.75
200003007,-9.75
200003061,-5.25
200003142,-11.75
200003194,inf
200003283,-10.0
200003317,-16.75
200003369,-6.25
200003543,-19.5
200003849,-18.0
200003922,-7.75
200004047,inf
200004060,-3.0
200004207,-7.0
200004269,inf
200004297,-1.25
200004427,inf
200004494,inf
200004605,-15.75
200004914,inf
200004915,inf
200005102,inf
200005103,inf
200005112,15.25
200005155,-4.5
200005156,-4.5
200005183,-8.5
200005230,-8.0
200005755,-16.0
200006000,-9.0
200006081,-9.5
200006147,-11.0
200006339,-12.0
200006944,-13.25
200007006,-2.5
200007023,5.75
200007084,-12.5
200007288,-9.75
200007289,-9.75
200007394,-8.5
200007502,-14.0
200007503,-13.75
200007837,-14.75
200007858,-14.75
200007860,-13.0
200008053,-12.0
200008083,2.75
200008086,-10.75
200008337,-8.75
200008343,-2.75
200008344,-3.0
200008378,9.75
200008449,9.5
200008490,-14.75
200008633,inf
200008666,-17.25
200008717,-19.0
200009024,-11.75
200009254,-1.5
200009284,-3.75
200009380,10.5
200009382,11.25
200009384,14.0
200009480,-15.75
200009560,-4.25
200010000,-14.5
200010007,-13.5
200010105,-17.25
200010217,-5.5
200010257,-11.75
200011224,-3.5
200011280,-25.0
200011880,-14.25
200011883,-14.0
200012185,-6.0
200012567,-16.75
200012689,-14.75
200012723,-38.0
200013012,-17.0
200013055,-10.25
200013067,-5.5
200013164,-8.0
200013166,-8.0
200013314,inf
200013318,-6.75
200013319,-6.5
200013414,-12.75
200013445,-7.25
200013504,15.0
200013540,-15.25
200013544,-12.5
200013830,inf
200014043,-8.75
200014080,-7.75
200014202,inf
200014258,4.25
200014394,-10.5
200014414,inf
200014511,-10.5
200014643,-12.25
200014644,-24.75
200014646,-8.75
200014647,-8.0
200014693,-12.75
200014720,-47.0
200014742,-9.0
200014914,inf
200015006,inf
200015042,-6.75
200015067,-15.25
200015079,-14.5
200015128,-4.0
200015163,-14.25
200015615,-9.5
200015739,-10.75
200015741,5.5
200018494,-8.0
200018495,-7.5
200019174,-10.5
200019348,inf
250000077,inf
250010160,-20.25
250040019,-9.25
250040059,-15.75
250040060,-16.0
250040061,-1.0
250050051,-16.0
250060035,-8.75
250060036,-9.0
250060037,-9.5
250080018,inf
250080038,-14.75
250080039,-15.0
250080040,inf
250080041,9.75
250090035,-15.75
250120051,-17.0
250130022,-10.5
250130026,15.0
250130027,14.75
250140035,-5.0
250140047,-9.0
250140048,-48.0
250140049,-38.0
250150133,-4.0
250180104,-4.5
250180133,-8.0
250190458,-10.5
250190459,inf
300000239,inf
300000262,inf
300000322,-1.5
300000385,-8.0
300000400,4.5
300000496,inf
300000545,5.25
300000998,9.0
300001372,inf
300001806,-4.75
300002094,-11.25
300002097,-11.25
350000097,inf
350000098,-8.25
350000099,4.5
350000100,inf
350000101,5.0
350020054,-11.5
