ID,Crossing_times
52,17.75
67,7.25
330,6.5
460,6.5
641,7.75
1057,6.75
1093,7.0
1146,6.0
1308,6.25
1487,6.75
1578,6.5
1581,5.75
1720,8.0
1747,8.25
1795,8.25
1829,7.5
1831,8.75
1862,7.0
1890,7.75
2014,6.25
2024,6.0
2083,5.75
2087,6.0
2212,7.0
2216,7.0
2243,6.0
2297,6.25
2423,7.0
2428,6.25
2487,7.0
2496,6.5
2838,8.0
2909,7.5
2932,5.75
2987,6.0
3038,6.0
3044,6.25
3045,6.5
3432,5.75
3629,8.0
4141,6.75
8101,6.0
8104,6.0
8277,6.5
8897,5.75
9064,6.0
50000090,7.5
50010049,6.5
50020046,6.0
50020061,6.25
50020062,6.0
50020063,5.75
50020064,5.75
50020065,6.0
50020066,6.0
50020067,8.0
50020068,8.25
50040332,6.75
100000124,6.25
100001221,5.75
100001256,7.5
100001781,8.25
100001827,7.5
100002442,5.75
100002464,7.25
100002471,7.25
100002748,8.0
100003452,6.75
100003630,7.75
100004077,6.0
100004106,6.25
100004221,5.75
100004326,6.0
100004417,6.0
100004539,7.5
100004896,7.5
100004980,7.25
100005084,6.0
100005145,6.0
100005343,6.0
100005456,6.75
100005597,7.5
100005643,6.5
100005707,7.25
100005773,7.5
100005812,7.5
100005921,7.5
100006025,7.25
100006029,7.5
100006140,6.5
100006199,6.0
100006235,6.0
100006421,6.0
100006719,7.25
100006855,7.5
100007084,7.5
100007154,6.25
100007156,6.25
100007209,6.5
100007316,16.0
100007393,5.75
100007394,6.75
100007428,6.0
100007643,7.0
100008079,6.0
100008106,6.5
100008203,7.75
100008484,7.5
100008497,8.75
100008709,7.75
100008920,8.0
100009037,10.0
100009040,11.5
100009208,6.5
100009256,6.0
100009285,7.75
100009294,6.5
100009326,6.0
100009451,6.0
100009453,6.0
100009499,7.25
100009503,6.75
100009505,8.0
100010037,6.25
100010064,7.5
100010980,6.5
100011005,7.5
100011136,6.75
100011148,7.25
100011187,6.0
100011398,6.0
100011635,8.25
100012124,7.75
100012215,6.0
100012427,6.25
100012577,14.0
100014069,6.0
100014112,5.75
100014127,7.75
100014157,6.0
100014201,5.75
100014258,6.0
100014263,7.25
100014295,6.25
100014296,6.25
100014320,6.0
100014380,7.0
100014414,7.25
100014417,7.5
100014486,6.5
100014579,9.5
100014602,7.5
100014615,6.5
100014644,7.0
100014911,5.75
100014938,7.5
100015176,6.0
100015229,8.0
