ID,Minimum PET
52,-18.25
67,-19.25
330,-9.75
460,-3.0
641,-22.5
1057,-11.0
1093,-17.25
1146,-1.5
1308,-10.75
1487,-7.5
1578,8.25
1581,7.75
1720,-18.0
1747,-23.0
1795,-22.5
1829,-20.5
1831,-15.75
1862,-15.0
1890,-3.25
2014,-11.25
2024,-1.5
2083,-7.5
2087,11.5
2212,-11.25
2216,-10.0
2243,-21.0
2297,-7.75
2423,-26.0
2428,-7.75
2487,-18.0
2496,-15.0
2838,-15.75
2909,-24.75
2932,-4.0
2987,-14.5
3038,-21.25
3044,-6.75
3045,-6.75
3432,0.0
3629,-14.75
4141,-8.5
8101,inf
8104,inf
8277,-7.0
8897,inf
9064,inf
50000090,-19.25
50010049,8.5
50020046,-21.0
50020061,-10.25
50020062,-2.0
50020063,11.25
50020064,11.25
50020065,-21.0
50020066,-21.25
50020067,-15.25
50020068,-15.5
50040332,-8.75
100000124,-19.25
100001221,0.25
100001256,-6.5
100001781,-13.0
100001827,-22.75
100002442,7.5
100002464,-16.5
100002471,-39.75
100002748,-21.25
100003452,-10.0
100003630,-51.75
100004077,11.5
100004106,-8.75
100004221,5.5
100004326,inf
100004417,-1.25
100004539,-17.5
100004896,-17.25
100004980,inf
100005084,-9.25
100005145,8.75
100005343,3.0
100005456,-21.25
100005597,5.0
100005643,-10.5
100005707,-8.75
100005773,-17.25
100005812,inf
100005921,-19.0
100006025,-19.5
100006029,-28.5
100006140,-7.0
100006199,2.0
100006235,0.25
100006421,3.5
100006719,-18.0
100006855,-13.75
100007084,-4.75
100007154,-5.0
100007156,-5.25
100007209,-10.0
100007316,-18.75
100007393,-3.5
100007394,inf
100007428,-4.5
100007643,-12.5
100008079,-4.5
100008106,-12.75
100008203,-10.25
100008484,-22.5
100008497,-19.0
100008709,-12.75
100008920,-10.5
100009037,7.0
100009040,-7.5
100009208,-8.75
100009256,-0.5
100009285,-8.25
100009294,-5.25
100009326,-4.5
100009451,6.0
100009453,5.75
100009499,-10.0
100009503,-6.5
100009505,-24.0
100010037,-9.5
100010064,-10.0
100010980,-18.25
100011005,-10.0
100011136,-7.5
100011148,-16.5
100011187,17.25
100011398,-11.75
100011635,-16.75
100012124,-9.0
100012215,-7.0
100012427,-8.5
100012577,-37.25
100014069,-0.75
