ID,Crossing_times
52,7.25
67,7.25
330,29.0
460,7.0
641,7.25
1057,7.25
1093,7.0
1146,7.25
1308,7.25
1487,7.25
1578,7.0
1581,7.5
1720,7.0
1747,7.25
1795,7.25
1829,7.75
1831,7.0
1862,7.25
1890,7.0
2014,7.25
2024,7.25
2083,7.0
2087,7.0
2212,7.25
2216,7.0
2243,7.25
2297,7.25
2423,7.25
2428,7.25
2487,7.25
2496,7.25
2838,7.25
2909,7.0
2932,12.25
2987,7.25
3038,7.0
3044,7.25
3045,7.25
3432,7.0
3629,7.0
4141,7.25
8101,7.0
8104,7.25
8277,7.0
8897,7.25
9064,7.25
50000090,7.25
50010049,7.0
50020046,7.5
50020061,7.0
50020062,7.25
50020063,7.25
50020064,7.25
50020065,7.5
50020066,7.5
50020067,7.25
50020068,7.25
50040332,7.25
100000124,7.25
100001221,7.0
100001256,7.0
100001781,7.0
100001827,7.25
100002442,7.0
100002464,9.0
100002471,7.75
100002748,7.0
100003452,7.25
100003630,7.25
100004077,7.0
100004106,7.25
100004221,7.0
100004326,7.25
100004417,7.0
100004539,7.25
100004896,7.0
100004980,7.25
100005084,7.25
100005145,7.25
100005343,7.25
100005456,7.25
100005597,7.25
100005643,7.25
100005707,7.25
100005773,7.25
100005812,7.0
100005921,7.25
100006025,7.5
100006029,7.0
100006140,7.25
100006199,7.25
100006235,7.0
100006421,7.0
100006719,7.0
100006855,7.25
100007084,7.0
100007154,7.25
100007156,7.25
100007209,9.25
100007316,7.25
100007393,7.25
100007394,7.25
100007428,7.25
100007643,7.0
100008079,7.25
100008106,7.75
100008203,8.5
100008484,7.0
100008497,7.0
100008709,7.25
100008920,7.25
100009037,7.75
100009040,7.0
100009208,9.75
100009256,7.25
100009285,7.25
100009294,7.25
100009326,7.25
100009451,7.25
100009453,7.25
100009499,7.0
100009503,7.0
100009505,7.25
100010037,7.0
100010064,20.5
100010980,7.25
100011005,7.25
100011136,14.0
100011148,7.25
100011187,7.25
100011398,7.0
100011635,7.0
100012124,7.0
100012215,17.5
100012427,20.25
100012577,7.25
100014069,7.25
100014112,7.25
100014127,7.0
100014157,7.25
100014201,7.0
100014258,7.0
100014263,7.0
100014295,7.25
100014296,7.0
100014320,7.25
100014380,7.25
100014414,7.0
100014417,7.0
100014486,7.25
100014579,7.0
100014602,7.0
100014615,7.25
100014644,7.25
100014911,7.25
100014938,7.0
100015176,7.0
100015229,7.25
100015296,22.25
100017023,7.0
100017294,14.75
100018233,7.0
100019446,7.25
150030026,7.0
150040004,7.0
150040005,7.25
150060033,7.25
150060034,7.0
150090052,7.25
150120040,7.25
150140003,7.25
150140035,8.25
150140036,7.0
150140037,7.25
150140038,7.25
150140039,7.25
150140040,7.25
150140041,7.0
150140042,7.25
150150045,7.25
150150047,7.25
150170146,7.0
200000101,7.25
200000102,7.0
200000294,7.0
200000327,7.25
200000428,7.25
200000547,7.25
200000898,7.25
200000906,7.25
200000946,7.25
200000966,7.0
200001102,7.0
200001119,7.25
200001516,7.25
200001517,7.75
200001646,7.0
200002129,9.5
200002172,9.75
200002175,10.0
200002967,7.25
200003007,7.25
200003061,7.0
200003142,7.25
200003194,7.25
200003283,7.25
200003317,7.25
200003369,7.0
200003543,7.25
200003849,7.25
200003922,7.0
200004047,7.25
200004060,7.25
200004207,7.25
200004269,7.0
200004297,7.25
200004427,7.25
200004494,7.25
200004605,7.0
200004914,7.25
200004915,7.25
200005102,7.0
200005103,7.0
200005112,7.25
200005155,12.5
200005156,12.75
200005183,7.0
200005230,7.25
200005755,7.0
200006000,10.25
200006081,7.0
200006147,7.25
200006339,11.75
200006944,7.0
200007006,8.25
200007023,7.25
200007084,7.25
200007288,7.25
200007289,7.25
200007394,7.0
200007502,7.25
200007503,7.0
200007837,7.0
200007858,7.25
200007860,14.75
200008053,7.25
200008083,7.0
200008086,7.75
200008337,10.0
200008343,7.0
200008344,7.25
200008378,7.25
200008449,7.0
200008490,7.0
200008633,7.0
200008666,7.25
200008717,7.25
200009024,8.25
200009254,7.25
200009284,8.0
200009380,7.25
200009382,7.0
200009384,7.25
200009480,7.25
200009560,7.0
200010000,7.25
200010007,7.0
200010105,7.25
200010217,16.0
200010257,8.25
200011224,7.0
200011280,7.25
200011880,7.25
200011883,7.25
200012185,7.25
200012567,7.0
200012689,8.5
200012723,8.75
200013012,7.25
200013055,7.0
200013067,7.25
200013164,7.0
200013166,7.0
200013314,7.25
200013318,7.25
200013319,7.0
200013414,7.25
200013445,8.25
200013504,7.0
200013540,7.0
200013544,7.0
200013830,7.25
200014043,7.0
