ID,Minimum PET
52,-13.5
67,-19.0
330,-15.75
460,-11.0
641,-20.75
1057,-10.0
1093,-22.0
1146,-7.5
1308,-6.25
1487,-11.25
1578,7.25
1581,8.0
1720,-17.5
1747,-22.75
1795,-22.75
1829,-20.5
1831,-16.25
1862,-13.0
1890,-20.75
2014,-15.75
2024,-10.5
2083,-8.0
2087,-17.75
2212,-10.0
2216,-9.0
2243,-20.5
2297,-3.5
2423,-11.0
2428,-11.5
2487,-17.75
2496,-9.25
2838,-14.0
2909,-23.0
2932,-3.75
2987,-11.5
3038,-2.75
3044,-5.5
3045,-5.5
3432,3.25
3629,-14.25
4141,-7.25
8101,inf
8104,inf
8277,-4.0
8897,inf
9064,inf
50000090,-19.0
50010049,7.25
50020046,-19.25
50020061,-14.25
50020062,-10.75
50020063,-17.75
50020064,-18.0
50020065,-19.25
50020066,-19.25
50020067,-13.75
50020068,-14.0
50040332,-7.25
100000124,-18.75
100001221,2.5
100001256,-6.0
100001781,-12.75
100001827,-22.25
100002442,-8.25
100002464,-11.0
100002471,-21.75
100002748,-21.25
100003452,-6.75
100003630,-25.5
100004077,14.5
100004106,-10.0
100004221,8.0
100004326,inf
100004417,3.0
100004539,-16.25
100004896,-15.25
100004980,inf
100005084,-11.75
100005145,11.5
100005343,5.5
100005456,-21.0
100005597,6.0
100005643,2.75
100005707,-7.0
100005773,-16.25
100005812,-20.75
100005921,-17.5
100006025,-15.75
100006029,-4.75
100006140,-10.5
100006199,-10.25
100006235,-11.75
100006421,4.75
100006719,-16.75
100006855,-21.25
100007084,-4.0
100007154,-4.0
100007156,-4.0
100007209,-8.0
100007316,-18.5
100007393,-8.75
100007394,-1.25
100007428,2.75
100007643,-11.5
100008079,-1.75
100008106,-12.75
100008203,-22.25
100008484,-21.5
100008497,-19.0
100008709,-12.25
100008920,-10.0
100009037,-7.25
100009040,-7.75
100009208,-3.5
100009256,-10.5
100009285,-9.75
100009294,-11.5
100009326,-15.75
100009451,-6.0
100009453,-6.0
100009499,-9.5
100009503,-5.5
100009505,-24.25
100010037,-8.75
100010064,-23.0
100010980,-19.75
100011005,-9.75
100011136,-10.75
100011148,-16.0
100011187,-15.75
100011398,-8.25
100011635,-16.0
100012124,-12.0
100012215,-8.5
100012427,-22.75
100012577,-9.5
100014069,-5.0
100014112,-15.0
100014127,-23.5
100014157,-13.0
100014201,inf
100014258,-16.0
100014263,-7.75
100014295,2.25
100014296,2.25
100014320,inf
100014380,-21.75
100014414,-18.75
100014417,-20.0
100014486,-11.25
100014579,8.5
100014602,-12.75
100014615,-7.25
100014644,-15.5
100014911,-11.25
100014938,-20.0
100015176,-5.5
100015229,-3.5
100015296,-25.5
100017023,-6.0
100017294,-6.75
100018233,inf
100019446,inf
