ID,Crossing_times
52,8.0
67,7.75
330,3.0
460,5.25
641,3.5
1057,7.5
1093,8.75
1146,3.25
1308,7.25
1487,3.25
1578,8.25
1581,9.75
1720,4.0
1747,6.5
1795,8.0
1829,4.25
1831,7.5
1862,10.0
1890,7.25
2014,8.5
2024,3.75
2083,7.75
2087,6.5
2212,8.5
2216,9.5
2243,11.0
2297,6.5
2423,4.25
2428,6.5
2487,7.5
2496,3.75
2838,7.5
2909,7.0
2932,4.0
2987,7.25
3038,4.25
3044,7.25
3045,7.0
3432,7.5
3629,6.5
4141,6.25
8101,4.25
8104,4.5
8277,3.5
8897,8.75
9064,8.5
50000090,7.5
50010049,8.25
50020046,11.25
50020061,8.5
50020062,3.75
50020063,6.5
50020064,6.5
50020065,11.25
50020066,11.0
50020067,7.5
50020068,7.25
50040332,6.25
100000124,6.0
100001221,8.75
100001256,7.5
100001781,8.5
100001827,5.75
100002442,4.5
100002464,6.0
100002471,6.25
100002748,3.25
100003452,6.0
100003630,6.75
100004077,9.0
100004106,7.5
100004221,7.75
100004326,9.5
100004417,3.25
100004539,7.5
100004896,6.25
100004980,9.5
100005084,5.75
100005145,7.75
100005343,9.0
100005456,3.25
100005597,8.5
100005643,7.75
100005707,6.5
100005773,7.0
100005812,7.5
100005921,4.25
100006025,8.5
100006029,6.75
100006140,7.5
100006199,6.5
100006235,8.0
100006421,7.75
100006719,4.0
100006855,7.75
100007084,7.0
100007154,7.0
100007156,7.0
100007209,3.5
100007316,6.25
100007393,4.5
100007394,4.75
100007428,7.25
100007643,11.0
100008079,7.75
100008106,8.5
100008203,8.5
100008484,8.5
100008497,8.0
100008709,8.25
100008920,8.75
100009037,7.0
100009040,6.5
100009208,3.5
100009256,6.75
100009285,4.0
100009294,3.5
100009326,4.0
100009451,4.5
100009453,4.5
100009499,7.25
100009503,6.25
100009505,7.0
100010037,7.5
100010064,6.25
100010980,6.25
100011005,6.75
100011136,4.5
100011148,7.0
100011187,5.75
100011398,4.75
100011635,7.0
100012124,7.25
100012215,6.5
100012427,3.5
100012577,8.0
100014069,4.25
100014112,6.25
100014127,8.5
100014157,4.0
100014201,8.0
100014258,9.5
100014263,7.5
100014295,11.25
100014296,11.25
100014320,6.75
100014380,3.75
100014414,7.5
100014417,6.25
100014486,3.25
100014579,9.75
100014602,5.0
100014615,8.25
100014644,4.0
100014911,3.75
100014938,7.75
100015176,8.0
100015229,4.0
100015296,6.0
100017023,4.75
100017294,3.75
100018233,7.25
100019446,6.5
150030026,7.25
150040004,6.25
150040005,9.5
150060033,6.5
150060034,4.0
150090052,3.5
150120040,8.0
150140003,9.5
150140035,7.5
150140036,5.0
150140037,8.25
150140038,8.5
150140039,8.0
150140040,7.75
150140041,11.25
150140042,11.25
150150045,6.25
150150047,6.25
150170146,4.75
200000101,4.25
200000102,4.25
200000294,7.0
200000327,8.25
200000428,10.5
200000547,6.5
200000898,10.0
200000906,4.25
200000946,10.0
200000966,6.25
200001102,8.0
200001119,11.5
200001516,8.0
200001517,7.25
200001646,6.25
200002129,6.75
200002172,4.5
200002175,3.5
200002967,6.5
200003007,6.0
200003061,4.25
200003142,7.25
200003194,6.5
200003283,3.25
200003317,6.5
200003369,7.5
200003543,6.5
200003849,6.5
200003922,6.75
200004047,8.25
200004060,5.75
200004207,5.0
200004269,9.0
200004297,8.75
200004427,6.75
200004494,8.0
200004605,7.5
200004914,8.75
200004915,9.25
200005102,9.75
200005103,10.25
200005112,12.75
200005155,4.5
200005156,4.0
200005183,3.5
200005230,7.5
200005755,8.25
200006000,5.5
200006081,8.25
200006147,4.0
200006339,6.0
200006944,8.5
200007006,8.75
200007023,7.25
200007084,7.0
200007288,7.25
200007289,7.25
200007394,4.5
200007502,8.0
200007503,8.0
200007837,4.0
200007858,4.0
200007860,3.75
200008053,7.5
200008083,10.0
200008086,10.0
200008337,7.0
200008343,3.75
200008344,3.75
200008378,5.0
200008449,10.25
200008490,3.5
200008633,7.5
200008666,6.75
200008717,4.0
200009024,3.75
200009254,4.25
200009284,3.5
200009380,14.25
200009382,15.0
200009384,13.5
200009480,7.75
200009560,7.25
200010000,12.25
200010007,7.75
200010105,7.5
200010217,0.0
200010257,8.0
200011224,3.75
200011280,7.25
200011880,7.25
200011883,7.25
200012185,6.75
200012567,8.5
200012689,3.75
200012723,8.0
200013012,7.0
200013055,6.75
200013067,4.25
200013164,6.25
200013166,6.25
200013314,5.75
200013318,6.25
200013319,6.25
200013414,6.75
200013445,10.0
200013504,7.75
200013540,8.5
200013544,8.5
200013830,8.5
200014043,4.25
200014080,7.0
200014202,8.5
200014258,9.0
200014394,6.5
200014414,5.0
200014511,3.75
200014643,11.0
200014644,7.0
200014646,6.25
200014647,8.5
200014693,7.0
200014720,7.25
200014742,8.5
200014914,5.25
200015006,8.75
200015042,3.0
200015067,3.5
200015079,11.0
200015128,7.5
200015163,7.0
200015615,7.0
200015739,3.75
200015741,8.0
200018494,8.0
200018495,8.0
200019174,4.25
200019348,6.25
250000077,4.25
250010160,6.25
250040019,6.5
250040059,7.75
250040060,7.75
250040061,8.75
250050051,8.25
250060035,5.5
250060036,5.5
250060037,8.25
250080018,11.75
250080038,3.25
250080039,3.5
250080040,7.5
250080041,5.0
250090035,7.75
250120051,8.5
250130022,7.75
250130026,7.5
250130027,7.5
250140035,3.75
250140047,6.5
250140048,8.5
250140049,5.25
250150133,7.5
250180104,5.25
250180133,8.0
250190458,4.25
250190459,6.25
300000239,6.5
300000262,4.0
300000322,3.5
300000385,8.0
300000400,6.75
300000496,9.75
300000545,5.75
300000998,5.75
300001372,5.75
300001806,6.25
300002094,8.25
300002097,7.25
350000097,6.5
350000098,8.0
350000099,6.75
350000100,9.75
350000101,5.75
350020054,8.25
