ID,Minimum PET
52,-8.75
67,-19.25
330,-11.0
460,-5.0
641,-11.25
1057,-8.75
1093,-27.5
1146,3.75
1308,-5.5
1487,-10.75
1578,9.25
1581,9.0
1720,-7.0
1747,-9.25
1795,-21.0
1829,-17.25
1831,-16.25
1862,-5.5
1890,-3.5
2014,-14.25
2024,-4.25
2083,-7.75
2087,-19.25
2212,-9.75
2216,-7.0
2243,-16.75
2297,-5.5
2423,-8.25
2428,-12.0
2487,-17.75
2496,-13.75
2838,-14.5
2909,inf
2932,-8.0
2987,-11.5
3038,1.75
3044,-5.5
3045,-5.75
3432,3.5
3629,-14.25
4141,-8.5
8101,inf
8104,inf
8277,inf
8897,inf
9064,inf
50000090,-19.25
50010049,9.0
50020046,-16.0
50020061,-14.25
50020062,-4.5
50020063,-19.0
50020064,-19.25
50020065,-16.0
50020066,-16.25
50020067,-14.25
50020068,-14.75
50040332,-8.5
100000124,inf
100001221,5.75
100001256,-6.0
100001781,-12.5
100001827,8.25
100002442,3.25
100002464,-11.5
100002471,-21.75
100002748,-3.25
100003452,-8.25
100003630,-25.75
100004077,-14.0
100004106,-8.75
100004221,8.25
100004326,inf
100004417,-4.0
100004539,-15.25
100004896,-16.25
100004980,inf
100005084,-9.25
100005145,-8.0
100005343,7.25
100005456,5.0
100005597,-33.0
100005643,-8.0
100005707,-7.25
100005773,-10.5
100005812,-20.25
100005921,2.25
100006025,-13.0
100006029,-4.5
100006140,-10.5
100006199,4.25
100006235,-10.25
100006421,5.0
100006719,inf
100006855,-20.75
100007084,-4.5
100007154,-4.5
100007156,-4.5
100007209,2.5
100007316,-19.5
100007393,inf
100007394,inf
100007428,10.5
100007643,-6.25
100008079,6.25
100008106,-17.75
100008203,-11.0
100008484,-19.75
100008497,-18.75
100008709,-10.75
100008920,-8.5
100009037,-6.0
100009040,-6.25
100009208,-12.5
100009256,-10.5
100009285,-13.0
100009294,-6.5
100009326,9.0
100009451,6.0
100009453,6.0
100009499,-6.75
100009503,-6.75
100009505,-22.25
100010037,-9.0
100010064,-9.5
100010980,-20.5
100011005,-10.25
100011136,-7.5
100011148,-16.5
100011187,-15.5
100011398,14.25
100011635,-16.5
100012124,-12.25
100012215,-8.25
100012427,-9.5
100012577,-14.5
100014069,-4.5
100014112,-16.0
100014127,-23.75
100014157,-3.0
100014201,inf
100014258,-20.75
100014263,-5.0
100014295,8.25
100014296,8.25
100014320,inf
100014380,4.75
100014414,-19.0
100014417,-4.25
100014486,-3.75
100014579,-19.25
100014602,-15.75
100014615,-6.25
100014644,-13.0
100014911,5.0
100014938,-19.0
100015176,-4.0
100015229,-4.25
100015296,-14.25
100017023,4.5
100017294,inf
100018233,inf
100019446,inf
150030026,-23.0
150040004,-16.0
150040005,inf
150060033,4.0
150060034,inf
150090052,-6.5
150120040,-14.5
150140003,-20.75
150140035,-10.25
150140036,-15.5
150140037,-6.25
150140038,-24.0
150140039,inf
150140040,inf
150140041,8.0
150140042,8.0
150150045,inf
150150047,inf
150170146,4.75
200000101,inf
200000102,inf
200000294,-16.5
200000327,inf
200000428,inf
200000547,inf
200000898,-6.25
200000906,inf
200000946,10.0
200000966,-14.0
200001102,-6.5
200001119,-11.75
200001516,-36.75
200001517,-6.25
200001646,-19.75
200002129,-14.75
200002172,-10.75
200002175,-11.75
200002967,-8.0
200003007,-6.0
200003061,-4.5
200003142,-14.25
200003194,inf
200003283,inf
200003317,-16.0
200003369,-20.75
200003543,-19.75
200003849,-16.0
200003922,-20.5
200004047,-18.75
200004060,-3.0
200004207,-8.0
200004269,-18.5
200004297,-9.0
200004427,inf
200004494,inf
200004605,-22.75
200004914,inf
200004915,inf
200005102,inf
200005103,-19.5
200005112,31.0
200005155,-5.5
200005156,-5.25
200005183,-2.75
200005230,-7.25
200005755,-22.5
200006000,-7.25
200006081,-8.5
200006147,-9.25
200006339,-8.75
200006944,-10.5
200007006,5.0
200007023,10.0
200007084,-8.5
200007288,-9.0
200007289,-9.0
200007394,4.0
200007502,-12.0
200007503,-12.0
200007837,inf
200007858,-14.75
200007860,-11.0
200008053,-7.25
200008083,-6.5
200008086,-6.5
200008337,-21.0
200008343,-5.5
200008344,-5.5
200008378,11.25
200008449,-17.75
200008490,-7.25
200008633,inf
200008666,-16.25
200008717,-3.5
200009024,-3.25
200009254,-2.5
200009284,-5.75
200009380,-9.0
200009382,-10.25
200009384,-10.25
200009480,-13.25
200009560,-3.75
200010000,-10.25
200010007,-15.0
200010105,-16.25
200010217,inf
200010257,-10.5
200011224,-5.25
200011280,-24.0
200011880,-15.75
200011883,-15.75
200012185,-9.25
200012567,-30.25
200012689,-8.25
200012723,-23.5
200013012,-19.75
200013055,-9.0
200013067,-7.0
200013164,-5.0
200013166,-5.0
200013314,inf
200013318,-7.25
200013319,-10.0
200013414,-18.5
200013445,-15.25
200013504,-12.5
200013540,-9.5
200013544,-9.75
200013830,inf
200014043,-10.0
200014080,-6.0
200014202,inf
200014258,20.75
200014394,-20.5
200014414,inf
200014511,-8.25
200014643,-15.25
200014644,-17.75
200014646,-18.25
200014647,-16.25
200014693,-11.25
200014720,-3.75
200014742,-6.75
200014914,inf
200015006,-6.5
200015042,7.0
200015067,inf
200015079,-7.75
200015128,-12.5
200015163,-13.0
200015615,-21.0
200015739,5.75
200015741,8.0
200018494,-5.0
200018495,-5.0
200019174,-4.5
200019348,inf
250000077,inf
250010160,-20.0
250040019,-8.5
250040059,-22.5
250040060,-22.75
250040061,-9.0
250050051,-22.5
250060035,-6.75
250060036,-7.0
250060037,-8.5
250080018,-13.25
250080038,-7.25
250080039,-7.25
250080040,inf
250080041,11.25
250090035,-13.25
250120051,-30.25
250130022,-9.0
250130026,-12.5
250130027,-13.0
250140035,7.5
250140047,-18.25
250140048,-6.75
250140049,inf
250150133,-12.5
250180104,-5.0
250180133,-4.75
250190458,-4.5
250190459,inf
300000239,inf
300000262,inf
300000322,-3.5
300000385,-5.0
300000400,-5.25
300000496,inf
