ID,Crossing_times
52,6.25
67,7.5
330,6.75
460,6.75
641,7.75
1057,6.25
1093,7.75
1146,7.25
1308,6.75
1487,6.0
1578,7.75
1581,7.25
1720,7.75
1747,7.0
1795,7.0
1829,7.0
1831,6.75
1862,8.0
1890,7.75
2014,6.75
2024,7.0
2083,6.5
2087,7.0
2212,7.5
2216,7.75
2243,7.25
2297,6.25
2423,7.25
2428,6.75
2487,7.25
2496,6.5
2838,7.5
2909,7.75
2932,7.0
2987,7.25
3038,7.25
3044,6.5
3045,6.5
3432,7.0
3629,7.5
4141,6.5
8101,6.75
8104,6.75
8277,6.5
8897,7.5
9064,6.75
50000090,7.5
50010049,8.0
50020046,7.0
50020061,6.5
50020062,7.0
50020063,7.25
50020064,7.25
50020065,7.25
50020066,7.0
50020067,7.5
50020068,7.5
50040332,6.5
100000124,7.75
100001221,7.25
100001256,7.5
100001781,7.0
100001827,7.5
100002442,7.0
100002464,6.25
100002471,6.75
100002748,7.5
100003452,7.0
100003630,7.5
100004077,6.75
100004106,6.5
100004221,7.25
100004326,7.25
100004417,6.75
100004539,7.75
100004896,7.0
100004980,7.75
100005084,7.0
100005145,7.0
100005343,7.0
100005456,7.75
100005597,7.75
100005643,6.5
100005707,7.5
100005773,6.75
100005812,7.75
100005921,7.75
100006025,6.75
100006029,6.25
100006140,6.75
100006199,6.75
100006235,7.5
100006421,7.0
100006719,7.75
100006855,7.75
100007084,6.75
100007154,6.25
100007156,6.25
100007209,6.75
100007316,7.0
100007393,7.0
100007394,9.75
100007428,6.5
100007643,7.75
100008079,6.75
100008106,6.75
100008203,7.0
100008484,7.75
100008497,6.75
100008709,7.0
100008920,8.0
100009037,6.25
100009040,6.0
100009208,6.75
100009256,6.75
100009285,6.5
100009294,6.25
100009326,7.0
100009451,6.75
100009453,6.75
100009499,7.25
100009503,7.25
100009505,7.0
100010037,7.0
100010064,6.5
100010980,6.5
100011005,7.25
100011136,6.5
100011148,7.25
100011187,7.0
100011398,7.0
100011635,7.5
100012124,6.25
100012215,6.75
100012427,6.75
100012577,8.25
100014069,6.75
100014112,7.0
100014127,7.25
100014157,7.0
100014201,7.25
100014258,7.5
100014263,6.25
100014295,6.5
100014296,6.5
100014320,7.75
100014380,7.75
100014414,7.75
100014417,6.75
100014486,7.75
100014579,7.75
100014602,7.75
100014615,6.75
100014644,7.75
100014911,7.75
100014938,7.75
100015176,6.75
100015229,6.5
100015296,6.75
100017023,6.75
100017294,6.5
100018233,7.75
100019446,7.75
150030026,6.5
150040004,7.0
150040005,7.75
150060033,6.75
150060034,8.0
150090052,6.5
150120040,8.25
150140003,7.25
150140035,7.0
150140036,7.75
150140037,6.75
150140038,7.5
150140039,7.0
150140040,7.25
150140041,6.5
150140042,6.5
150150045,7.5
150150047,7.75
150170146,6.75
200000101,6.5
200000102,6.75
200000294,7.75
200000327,7.75
200000428,7.75
200000547,7.75
200000898,7.5
200000906,7.75
200000946,7.5
200000966,7.75
200001102,7.5
200001119,6.75
200001516,7.75
200001517,7.25
200001646,7.0
200002129,6.5
200002172,6.25
200002175,6.25
200002967,7.25
200003007,6.25
200003061,6.75
200003142,6.5
200003194,6.75
200003283,6.0
200003317,7.75
200003369,7.0
200003543,6.75
200003849,7.75
200003922,7.0
200004047,7.75
200004060,7.5
200004207,6.5
200004269,7.0
200004297,7.0
200004427,7.0
200004494,7.75
200004605,7.75
200004914,7.75
200004915,7.75
200005102,6.75
200005103,7.0
200005112,7.0
200005155,7.25
200005156,7.0
200005183,7.0
200005230,8.0
200005755,7.75
200006000,6.25
200006081,7.5
200006147,6.5
200006339,6.5
200006944,7.75
200007006,7.25
200007023,6.75
200007084,6.5
200007288,6.0
200007289,6.0
200007394,6.25
200007502,7.75
200007503,7.75
200007837,8.0
200007858,7.0
200007860,7.0
200008053,6.5
200008083,6.5
200008086,7.0
200008337,7.0
200008343,7.0
200008344,7.0
200008378,6.75
200008449,7.0
200008490,6.75
200008633,7.5
200008666,7.5
200008717,7.25
200009024,6.0
200009254,6.5
200009284,7.25
200009380,6.75
200009382,7.0
200009384,7.0
200009480,6.5
200009560,7.5
200010000,7.0
200010007,7.25
200010105,7.0
200010217,7.5
200010257,6.5
200011224,7.0
200011280,6.5
200011880,6.75
200011883,6.75
200012185,6.75
200012567,7.5
200012689,7.25
200012723,7.0
200013012,7.75
200013055,6.75
200013067,6.5
200013164,6.75
200013166,6.75
200013314,6.75
200013318,6.75
200013319,6.75
200013414,6.5
200013445,6.5
200013504,7.0
200013540,7.25
200013544,7.5
200013830,7.75
200014043,6.0
200014080,6.25
200014202,7.0
200014258,6.75
200014394,7.0
200014414,7.75
200014511,8.0
200014643,8.0
200014644,8.25
200014646,6.75
200014647,7.0
200014693,7.0
200014720,7.5
200014742,7.0
200014914,7.75
200015006,7.0
200015042,7.0
200015067,6.75
200015079,7.0
200015128,6.5
200015163,6.75
200015615,7.75
200015739,7.75
200015741,7.75
200018494,7.25
200018495,7.5
200019174,7.0
200019348,6.75
250000077,6.75
250010160,6.75
250040019,7.5
250040059,7.75
250040060,7.5
250040061,7.0
250050051,7.75
250060035,6.25
250060036,6.25
250060037,7.75
250080018,6.75
250080038,7.0
250080039,6.75
250080040,7.75
250080041,7.0
250090035,6.75
250120051,7.5
250130022,7.25
250130026,7.0
250130027,7.0
250140035,6.75
250140047,6.75
250140048,7.0
250140049,7.75
250150133,6.75
250180104,7.0
250180133,7.25
250190458,7.0
250190459,6.75
300000239,7.5
300000262,7.75
300000322,7.25
300000385,7.25
300000400,7.75
300000496,7.5
300000545,7.75
300000998,7.5
300001372,6.75
300001806,7.0
300002094,7.25
300002097,6.75
350000097,7.75
350000098,7.25
350000099,7.75
350000100,7.5
350000101,7.75
350020054,7.25
