ID,Minimum PET
52,-12.75
67,-19.25
330,-13.25
460,-10.0
641,-19.75
1057,-28.25
1093,-21.5
1146,-10.75
1308,-6.5
1487,-4.75
1578,7.75
1581,-27.75
1720,-17.0
1747,-23.5
1795,-22.5
1829,-20.25
1831,-16.75
1862,-12.0
1890,-1.75
2014,-12.5
2024,-28.0
2083,-7.0
2087,-17.5
2212,-9.75
2216,-8.5
2243,-20.5
2297,-3.75
2423,-19.5
2428,-11.25
2487,-17.5
2496,-14.25
2838,-13.25
2909,-21.75
2932,-3.25
2987,-11.0
3038,-0.5
3044,-17.25
3045,-17.25
3432,3.75
3629,-13.25
4141,-7.5
8101,inf
8104,inf
8277,-4.75
8897,inf
9064,inf
50000090,-19.25
50010049,7.75
50020046,-19.25
50020061,-14.5
50020062,-10.25
50020063,-17.25
50020064,-17.5
50020065,-19.25
50020066,-19.5
50020067,-13.0
50020068,-13.25
50040332,-7.5
100000124,-18.5
100001221,4.5
100001256,-6.0
100001781,-12.75
100001827,-21.75
100002442,-6.5
100002464,-12.5
100002471,-21.5
100002748,-20.75
100003452,-6.75
100003630,-25.5
100004077,15.0
100004106,-9.0
100004221,9.75
100004326,inf
100004417,-16.75
100004539,-15.0
100004896,-14.75
100004980,inf
100005084,-10.75
100005145,11.75
100005343,6.0
100005456,-21.0
100005597,7.5
100005643,-9.75
100005707,-22.25
100005773,-15.0
100005812,-19.75
100005921,-16.5
100006025,-15.0
100006029,-2.75
100006140,-9.5
100006199,-10.0
100006235,-11.0
100006421,-17.5
100006719,-20.5
100006855,-20.0
100007084,-4.75
100007154,-17.5
100007156,-17.5
100007209,-8.25
100007316,-18.5
100007393,-7.25
100007394,-9.25
100007428,-0.75
100007643,-10.25
100008079,-24.0
100008106,-12.25
100008203,-11.0
100008484,-20.5
100008497,-18.75
100008709,-11.5
100008920,-9.25
100009037,-8.25
100009040,-8.75
100009208,-4.75
100009256,-8.0
100009285,-12.75
100009294,-15.5
100009326,-15.5
100009451,-4.5
100009453,-4.5
100009499,-9.5
100009503,-5.25
100009505,-24.25
100010037,-9.5
100010064,-9.25
100010980,-19.75
100011005,-9.5
100011136,-18.25
100011148,-15.75
100011187,-15.5
100011398,-7.75
100011635,-15.5
100012124,-18.75
100012215,-16.75
100012427,-10.5
100012577,-13.5
100014069,-30.5
100014112,-15.25
100014127,-23.75
100014157,-14.0
100014201,inf
100014258,-24.0
100014263,-5.5
100014295,-37.0
100014296,-37.0
100014320,-11.0
100014380,-24.25
100014414,-18.25
100014417,-19.75
100014486,-10.75
100014579,-21.5
100014602,-20.75
100014615,-7.75
100014644,-14.75
100014911,-10.5
100014938,-19.0
100015176,-5.5
100015229,-3.75
100015296,-12.25
100017023,-4.75
100017294,-6.75
100018233,inf
100019446,-14.5
150030026,-23.25
150040004,-14.75
150040005,inf
150060033,-10.25
150060034,-20.5
150090052,-0.75
150120040,-13.5
150140003,-22.0
150140035,-10.75
150140036,-20.75
150140037,-7.75
150140038,-23.75
150140039,inf
150140040,inf
150140041,-37.0
150140042,-37.0
150150045,-22.25
150150047,-22.25
150170146,-4.75
200000101,-5.75
200000102,-6.75
200000294,-16.0
